PSNR,SSIM
48.17787834098014,0.8679566626771904
48.156249887437205,0.8673404501228004
48.15362533863306,0.8672588870062482
48.15108116541262,0.867187253408524
48.15511239936043,0.8672900771742392
48.159670983742814,0.8674541428708048
48.16177920889585,0.8675477831368127
48.157032632536044,0.8674095670653833
48.138424609355404,0.8669116925152314
48.14205263553231,0.8670436849327353
48.12332300062646,0.8665514225414656
48.12411238928828,0.8666147024983922
48.1297073726555,0.866783346295913
48.126432862475106,0.8666537174993897
48.130058889903225,0.8667107155132392
48.133688085474084,0.8667861997813645
48.13305487385421,0.8667864816254446
48.11519238498691,0.8662756760984719
48.10846922474858,0.8661212405877826
48.11094648758954,0.8662280269475783
48.10403049235197,0.8660489910360866
48.10315531562952,0.8660085803963721
48.10095237753056,0.8659954969969276
48.07355304471541,0.8653211818769021
48.04300153981306,0.8648511462618472
48.06433002163777,0.866027501394393
48.04919628169721,0.8658958770165647
48.06585136631813,0.8669278467367687
48.05907850841774,0.8674070108921083
48.07640217674472,0.8688214212121791
48.140330041389596,0.8708230994876295
48.159736793872845,0.8711493695424731
48.15105382517839,0.8708092839305688
48.06030403922421,0.8706797770505211
47.88240969450517,0.8697019384721766
47.83120364203604,0.8691067345379123
47.87168689221595,0.8693598724221289
47.88724443288924,0.8700765723721035
47.883909674911074,0.8714876420823202
47.927570705615985,0.8716885280870478
48.11460884508623,0.8712229253043461
48.186822467758965,0.8710050485228124
48.18163698279654,0.8708245339991726
48.162120912124834,0.870325928696246
48.17777043192692,0.8697332090254649
48.17798910528381,0.8684733551608755
48.18476278994407,0.8684358127662821
48.21487257423952,0.869336757560485
48.194975070798954,0.8687513788813127
48.203042183023385,0.8691441245927001
48.22474778197463,0.8698517812915303
48.23153428234713,0.8700717412091455
48.24542845952219,0.8705420959374001
48.247971413102974,0.8707052688394468
48.24601548189097,0.8706771917358843
48.23484862800025,0.870435482977639
48.240152396433764,0.8710808751155706
48.22777810277689,0.871014683075107
48.22484570716743,0.8716385097991489
48.202764097414544,0.8708821131919886
48.2052401092104,0.8707255395804631
48.21505746817914,0.8707563890633508
48.217976710194186,0.8707793771338124
48.20891219565275,0.8704992761975777
48.22094165366757,0.8705394968378725
48.217824134363326,0.870354434497932
48.21000442034418,0.870220841492662
48.19974955560519,0.8702390771379239
48.192890887400054,0.8703222381297194
48.19260673292386,0.8704913734839147
48.15995010596079,0.8698255357366236
48.15934268983731,0.8698354524963373
48.12173585405446,0.8695012742716347
48.105317701205585,0.8695604977014139
48.12639644577206,0.8694593392777438
48.17333636681836,0.8695590393088439
48.196104493885585,0.8694057215688118
48.19071274950354,0.869175032185928
48.20713859259013,0.8695659611489471
48.208411961593725,0.8696048976708125
48.217195943178766,0.8698641412519225
48.21500233032137,0.870468885671305
48.19485132940133,0.8715730335441755
48.13691668396879,0.872155194082954
48.10234226232297,0.8723339073073086
48.04220261344046,0.8723589647352016
48.00460565834811,0.8725144403198682
47.96564155450022,0.8726438490992724
47.97324555135491,0.8724688104078592
48.00421926031598,0.872471707584565
48.000925633158246,0.8718312715394573
47.99881535411039,0.8715951746761567
48.09017838409883,0.872522120391873
48.120690498215794,0.8714698692056985
48.15325810226038,0.870834264870146
48.1696905686185,0.8707686799357237
48.16580885734527,0.871447432518326
48.16178112823758,0.8741123107082017
48.187323695003,0.8760160813808243
48.204341915888506,0.8765787013058187
48.20443034955075,0.8770404210305225
48.21688502848147,0.8773335862248696
48.21632985677476,0.8774558671370354
48.24808628060859,0.8769360791697999
48.29106497388353,0.8758225018626002
48.31030086807888,0.8753303482013841
48.294013785737064,0.8758731856391839
48.310957009222804,0.8765070389740547
48.31748613624597,0.8768676994590986
48.31846680188194,0.8768970747606315
48.30610382251553,0.876937503384352
48.26962129743428,0.876830695557548
48.28154546991246,0.875681307832299
48.29114129506766,0.8754573381573157
48.300226401213465,0.8762359062695704
48.30384356695336,0.8773128975535496
48.304118357897146,0.8774015922517299
48.30259899063091,0.8792021389583976
48.227905652929024,0.8807563030243092
48.18250568742987,0.8819688359364478
48.14333047326498,0.8824947784626148
48.12566893529312,0.8830761107330071
48.221410087343514,0.8808867578149818
48.216979630440136,0.8790167670644605
48.18853448648831,0.8779143592871391
48.120640241707584,0.8784438642253344
48.11205944604122,0.8771253006968799
48.10737354546358,0.8766504868321929
48.12072700004975,0.8768612007917952
48.09212342323655,0.8776190383147985
48.04584713872564,0.8777714944055045
48.02655687910519,0.8775176641560171
48.125908889184785,0.8768857813392513
48.14411262037087,0.8762653489645579
48.19664720578941,0.8756467696547349
48.22836656003272,0.8749798836425895
48.235886640960814,0.8752390616543925
48.21143044618087,0.875232520246953
48.14602482128783,0.8765627839669446
48.11927193809224,0.8761340983554445
48.16594416988315,0.8753438346756027
48.17663399314399,0.87582518447871
48.15722650050162,0.8760520686638639
48.188538423236295,0.8766458480684641
48.18338941760772,0.877190197809382
48.18025720084329,0.8774269328590365
48.22672024436824,0.8765199275386916
48.23176628493862,0.8759463269984099
48.18773036995087,0.8760813001174853
48.14538547530417,0.8757104468268319
